;Tweets;len;ID;Created;Source;Likes;RTs
163;Problemnya perasaan negatif, seperti sedih, marah, atau takut, lebih cepat menular dibanding perasaan positif. https://t.co/CQ15eYpa9O;134;1603751900783976450;2022-12-16 14:00:24+00:00;SocialFlow;18;7
164;Bawaslu sebut 20 ribu identitas warga dicatut parpol, termasuk kasus melibatkan Partai Garuda di Banyumas ini. Siap… https://t.co/xOO9BEr0QY;140;1603751777467527169;2022-12-16 13:59:54+00:00;Twitter Web App;36;5
165;“Pornografi itu candu” merupakan konsep baru yang muncul setelah adanya internet. Ternyata komunitas psikolog belum… https://t.co/nGpdVijC2v;140;1603721619645538306;2022-12-16 12:00:04+00:00;SocialFlow;86;12
166;Kroni presiden Suriah Bashar al-Assad turun tangan dalam produksi dan penyelundupan obat sintetis captagon. Industr… https://t.co/PUMmmX5Koi;140;1603721168837558273;2022-12-16 11:58:17+00:00;SocialFlow;46;8
167;Gimana sih rasanya adulting sebagai transpuan? Atau rasanya menikah sama rice cooker? Kita juga gak tau. Tapi tenan… https://t.co/6lj32UgKtI;140;1603691429502525441;2022-12-16 10:00:06+00:00;SocialFlow;43;6
168;Aku sering dicap pemalas oleh guru, padahal aslinya aku susah fokus karena belajar di sekolah membosankan. Aku baru… https://t.co/HSp2QTg538;140;1603676362446966787;2022-12-16 09:00:14+00:00;SocialFlow;49;12
169;Seorang warga Amerika Serikat diduga kuat sebagai pelaku pembunuhan tiga perempuan di Meksiko. Polisi masih melacak… https://t.co/3I8VydXPI9;140;1603661236004159488;2022-12-16 08:00:07+00:00;SocialFlow;10;0
170;Iptu Umbaran Wibowo diangkat kapolsek padahal jadi jurnalis 14 tahun mengejutkan rekan wartawan Jateng. Beberapa pe… https://t.co/jceTMCLHiX;140;1603631051569520641;2022-12-16 06:00:11+00:00;SocialFlow;57;14
171;Sebagai remaja yang besar di Indonesia, kenapa dia mengidolakan ikon fasisme Jerman itu? Dia ngerti ga sih Hitler d… https://t.co/2QOMcpi2vT;140;1603615973281497091;2022-12-16 05:00:16+00:00;SocialFlow;50;14
172;Berselang setahun usai penggusuran, bekas komplek pelacuran kumuh DKI Jakarta itu menjadi ruang publik ramai, berka… https://t.co/EUpwhbYdPY;140;1603585792105922565;2022-12-16 03:00:20+00:00;SocialFlow;13;5
173;Kasih rekomendasi lagu yang bikin adem dong;43;1603525418413428739;2022-12-15 23:00:26+00:00;SocialFlow;104;9
174;Katanya, bulu mata manusia punya jangka hidup yang lamanya sekitar 3 sampai 6 bulan pada rata-ratanya. Kalo hubungan kamu sama ...?;131;1603419702637826048;2022-12-15 16:00:21+00:00;SocialFlow;12;2
175;Rendaman pakain dalam mengandung narkoba menjadi salah satu penyebab naiknya kasus overdosis obat penghuni penjara… https://t.co/fw2LRA871V;139;1603404599662198786;2022-12-15 15:00:21+00:00;SocialFlow;14;0
176;Banyak anak muda di Yogya membuat sari salak dan buah-buahan lain. Miras ini alternatif yang lebih aman daripada me… https://t.co/b8sSQ2fxLS;140;1603389554534162433;2022-12-15 14:00:33+00:00;SocialFlow;69;21
177;Iptu Umbaran Wibowo diangkat kapolsek padahal jadi jurnalis 14 tahun mengejutkan rekan wartawan Jateng. Beberapa pe… https://t.co/Vx7zFVKSAF;140;1603373786145124352;2022-12-15 12:57:54+00:00;Twitter for iPhone;66;12
178;Intel ga cuma jadi tukang bakso. Penyamaran terkuak setelah dinas selesai macam Iptu Umbaran Wibowo beberapa kali t… https://t.co/30u6r0rzPI;140;1603373140926660609;2022-12-15 12:55:20+00:00;Twitter Web App;35;12
179;Bosen dengan konsep desain kamar minimalis yang gitu-gitu aja? Seniman nyeleneh Khoirul Anam menawarkan tampilan se… https://t.co/X9FPcOgeCd;140;1603359290538037249;2022-12-15 12:00:18+00:00;SocialFlow;71;17
180;Brasil tersingkir dari Qatar, tapi penduduk Lyari bakal selalu jadi 'si paling Brasil' selama Piala Dunia. “Perawak… https://t.co/XPq5FBAvwT;140;1603329859069042688;2022-12-15 10:03:21+00:00;SocialFlow;9;1
181;Let’s take a deeepr look at music! Ditemenin sama host kita Basboi, bareng-bareng kita kulik dunia musik Indonesia.… https://t.co/GeI73jEIFc;140;1603313926816530438;2022-12-15 09:00:02+00:00;SocialFlow;5;0
182;Polisi di Maharashtra berhasil melacak keberadaan tersangka pembunuhan yang sudah puluhan tahun bersembunyi, berkat… https://t.co/VWQG0zUFMC;140;1603283736430362624;2022-12-15 07:00:04+00:00;SocialFlow;42;3
183;Pelaku masih buron setelah video massa suruhannya menyeret perempuan viral. Serangan pada perempuan yang menolak di… https://t.co/Cc4a5Fj3Jl;140;1603268651712495616;2022-12-15 06:00:08+00:00;SocialFlow;156;25
184;Selain makan berantakan, kenalan Tinder bisa ilfil kalau kamu pelit dan bersikap enggak sopan sama pelayan restoran. https://t.co/zhBjK2bMqJ;140;1603253570429648899;2022-12-15 05:00:12+00:00;SocialFlow;4;1
185;Dipandu pakar kuliner William Wongso, VICE mengulik alasan yang bikin orang Indonesia tega menggoreng kol, brokoli,… https://t.co/zXO0TSDflY;140;1603223405335121923;2022-12-15 03:00:20+00:00;SocialFlow;76;17
186;Pagiiiiiiiiiiii. Sarapan apa yaaaaa;35;1603163016169754624;2022-12-14 23:00:23+00:00;SocialFlow;26;2
187;"Pernah dengar istilah ""mindfullness""?";37;1603057334258917377;2022-12-14 16:00:26+00:00;SocialFlow;29;5
188;Ingat, orang tidak akan marah hanya karena kamu menolak permintaan mereka. Jika ternyata temanmu malah menjauh, itu… https://t.co/gXppLyu4Nt;140;1603042242696036354;2022-12-14 15:00:28+00:00;SocialFlow;47;9
189;Limbah kain pabrik tekstil termasuk penyumbang sampah laut di Indonesia. Warga Cigondewah meniup napas baru bagi ul… https://t.co/1TpR6xRXc0;140;1603027141637115906;2022-12-14 14:00:28+00:00;SocialFlow;15;7
190;Sesama anggota parlemen tiba-tiba memeluk badan Carla Ayres dan hendak menciumnya, padahal saat itu rapat masih ber… https://t.co/ZgeOCIrgKe;140;1602996871647186945;2022-12-14 12:00:11+00:00;SocialFlow;50;6
191;Kalian mungkin membayangkan Neanderthal dan Homo sapiens awal cuma makan daging mentah. Tapi dari analisis bukti pe… https://t.co/gkX9Jc3d8R;140;1602966664282341377;2022-12-14 10:00:09+00:00;SocialFlow;31;4
192;Benarkah orang-orang sudah malas berselancar di dunia maya? Itukah sebabnya banyak dari mereka meninggalkan Twitter… https://t.co/BGDcMPQN0l;140;1602951593036550144;2022-12-14 09:00:15+00:00;SocialFlow;138;37
193;Bahkan dari masa 11 ribu tahun lalu, manusia kayaknya sudah suka bikin cerita dewasa. Relief cowok pegang penis ini… https://t.co/4ynOZUtpha;140;1602936467814326273;2022-12-14 08:00:09+00:00;SocialFlow;11;3
194;Orang yang terlilit utang cenderung impulsif karena stres, yang dapat memperparah masalah keuangan mereka. Maka pen… https://t.co/MzvBvuLobc;140;1602921405439479808;2022-12-14 07:00:18+00:00;SocialFlow;19;5
195;Di seri podcast ini, kalian bakal dapat rekomendasi playlist yang sudah dikurasi oleh redaksi VICE Indonesia. Apapu… https://t.co/oCcYPioXdX;140;1602906251461099521;2022-12-14 06:00:05+00:00;SocialFlow;3;0
196;Bayangkan melihat krim gula melingkar di atas kue. Buatku, tayangan semacam itu memberi sensasi mirip meditasi. https://t.co/eWgl8c9xZV;135;1602891191032451078;2022-12-14 05:00:14+00:00;SocialFlow;9;3
197;Saat ada orang berkata “rasanya ingin menghilang”, mereka biasanya sedang tidak baik-baik saja dan membutuhkan duku… https://t.co/4s0ifOfOON;140;1602860989610860544;2022-12-14 03:00:14+00:00;SocialFlow;78;23
198;Selamat hari Rabu 🧘‍♂️;22;1602800627934961668;2022-12-13 23:00:22+00:00;SocialFlow;25;5
199;Sudah dengar album barunya SZA belum? Jangan sambil ngomel-ngomel ya 🫢;70;1602694930287165442;2022-12-13 16:00:22+00:00;SocialFlow;26;2
